conversation_id,text
68,Hello how are you?
68,Hello! Fine. How are you?
68,I'm good thanks for asking!
68,"That's good, so I guess we are supposed to discuss the article. I wonder, if my family or I were in a place where my very life was at risk, what would I do?"
68,That's a very scary thought to have honestly
68,"Yes, I think it is something most people rather not imagine. But it is a reality. "
68,becoming more and more of a realityeveryday
68,"Yes, it is sad for those who have to make hard decision. Sad also to hear people be so unsympathetic."
68,Yes and why is America taking so few refugees?
68,"Not sure, I guess refugees are not top priority for anyone."
68,"Maybe I was mis understanding the article, I thought it was talking about people fleeing, looking for a safe place to live..lol"
68,"Yes, that was the topic of the article."
68,I think everyone deserves a safe place t live
68,"Yes, very much. I agree."
68,I'm not sure how I would handle being in that position
68,"Me either, I would like to think I would do anything to help my family and survive."
68,Of course! I would probably be trying to flee as well if I'm being honest
68,That's brave! Hoping you would be welcomed in a foreign land. Scary thought!
68,Very scary thoughts!
68,Is your family from an immigrant background?
68,"No, not at all thankfully. Yours?"
68,"No, I am Native American. I guess it is relative LOL"
68,"LOL, somewhat I guess. Where are you from?"
68,Arizona. And yourself?
68,Kentucky. but I have been to Arizona and absolutely loved it!
68,"Nice! Never been to Kentucky, what's the best place to visit?"
68,KFC of course! Nah only joking. I think Cumberland Falls is pretty awesome! Mammoth Cave is intriging!
68,LOL!!! Sounds awesome :)
68,I acually want to move to Arizona or New Mexico
68,"Really? Life is nice and cheaper than in other states, Tucson and Flagstaff are good areas. NM is awesome BTW, I love it."
72,hello anyone there?
72,hi
72,did we read the same article? 
72,Was yours about an explosion?
72,"yeah, some guy stopped to sell fuel then boom!"
72,yeah 73 people died
72,what was your first reaction? 
72,I was not very suprised 
72,really? why were you not surprised? 
72,It seems to happen often in africa and the thrid world
72,"ooh, My first reaction was just sad for the loss of life"
72,Yeah it was sad but happens often. do you remember where it was exzactly 
72,no\\
72,I think it was zimbabwae. Did your article have the actual cause
72,"no they had a few suggestions, like lightning "
72,I think that is unlikely but maybe. you?
72,the chances of that happening are really low
72,Yeah maybe a attack or something more likely 
72,yeah might have been intentional 
72,That makes it sort of less sad in a way to me 
72,yeah kinda. what emotions did you get?
72,if it was an attack then more anger I guess
72,i felt some anger too
72,was it only men or any kids die?
72,they did not specify 
72,would it make you feel worse if so/
72,yes kids are just innocent creatures 
72,yes same for me 
72,anything else left to talk about?
72,i don't really think so we have a few rounds left tho so be quick
74,hello. Did you read the article?
74,"hello, yes I did read the article"
74,Such a tragedy. My first reaction was sadness. I felt so bad for them and their families.
74,"It is indeed a tragedy. My first reaction was surprise, given the number of people that perished. I also feel for their families."
74," Yes, surprise I felt that way too. I wonder what type of fire they said in the article that was burning near the tanker to cause it to explode and then they said another theory was a lightning strike. What do you think?"
74,Lightning strike would be incredibly unlucky and uncommon. The article didn't seem to lean towards either theory. What do you think might have been the cause?
74," Yeah, I see a lightning strike unlikely. They would use that as a reason I don't think I would believe that honestly. And there's no details though enough for me to even judge that I guess. They didn't really give too many details."
74,"Yes, either way incredibly unfortunate. They stated that over a hundred people were injured in addition to the 73 that died and many tried to get to a nearby river. I'm sure the truth will come out with that many witnesses."
74,"yes whenever I read that part man, I cannot even imagine, trying to get into a river on fire that would just be god-awful "
74,"Yes, it made me think of some war photos that I have seen with bodies in vehicles from people that also died to I believe a bombing. I wonder who will be held responsible."
74,"yeah, I know what you mean on that part. I wonder something this place it doesn't really say where it is besides the name Mozambique is that a region known for terrorist attacks?"
74,I'm not familiar with that region. I believe they said the tanker was from a nearby city. I'm guessing that it occurred on something like a highway or interstate given that the number of people that had to have been in the vicinity seemed quite large.
74,"I guess Google says that it is a country in east Africa the countries, 35th largest country"
74,"Yeah, I am not familiar with it at all besides knowing that it is in Africa. I do wonder if it could have been a terrorist attack. That would be a real shame."
74,"I also fetched info off of Google for that just now it says:  Mozambique is still grappling with a military insurgency in parts of the gas-rich province of Cabo-Delgado; the four-year conflict has caused an estimated 4,000 deaths and displaced nearly one million people. How to see what year there's articles from that I'm looking at, but it isn't even on there"
74,I can't imagine living somewhere like that. I wonder what leads to something like that being allowed to happen. What is their government doing?
74,"Makes me thankful to be living in the USA every single day that's for sure!...(btw plz excuse my grammar mistakes and miss spellings and typos I'd like to blame it on my keyboard, but I just cannot do that.lol bcse it's totally me, but I know how to spell very clearly, but my hands are functioning today.)"
74,"No problem, I type faster than I should and often make mistakes. Yes, we have our own share of problems here but I am also thankful to be here. Makes me feel helpless sometimes hearing about these tragedies and not being able to do anything about it."
74,"amen to that. You hit the nail on the head. We all have our own share of problems and i know there's somebody out there that always has it worse so whenever I get down on myself, I try to remember that it could always be worse."
74,"Yes, whenever something like this really makes you think and trivializes everyday problems. It makes me thankful for what I have. "
74,"Exactly! I may not have much, but I consider myself rich, because I am thankful for every single thing that I have. That's the truth."
74,That is an eloquent way of putting it. I do hope that someday people that suffer like that will have only mostly trivial problems to worry about like I do.
74,Right on! totally agree with you! Guess that only thing I feel like I can do is just say a prayer for them. 
74,"A lot of times you hear stories like this in the news there is no clue given how to send support. I wish that there was a real way to send a donation or something. But, how would that even help really?"
74,"If you donate to the right charity, and do our research about it, like the Red Cross, they are well known, and very credible"
74,That is true. I am sure that there is an organization there like the Red Cross. I imagine that they are still there helping people to rebuild their lives afterwards. It is a really selfless pursuit that people that work in those organization undertake.
74," yes, the Red Cross is everywhere, and they go everywhere. All kinds of countries and help and all kinds of circumstances and I just noticed the time we're almost out of time and we still gotta do two messages each."
74,I remember Red Cross always have a donation stand outside of stores but haven't seen one in probably over a decade. I guess the way to make donations now is directly or online. Thanks for the chat and sharing your perspective.
74,oh wow really? I miss seeing the Salvation Army at Christmas time ringing the bell.
74,I still do see the Salvation Army outside of stores during the Holidays. I thought I remember seeing Red Cross too but could be wrong.
80,Hello?
80,Hi. what did you think of the article?
80,I am shocked that this would happen. I hate to wipe out the apes!
80,"yeag, but everywhere you goyou will probably effect some kind of animal.  What if they just replanted afterwards too?"
80,"Yup. I dig. I thought that the article was oddly written, but I caught the main idea of it."
80,I am glad I am not the only one who had a hard time understanding it.  I think we always have to make some sort of compromise bewteen humans and other beings. we can;t just let them dictate. but I think individuals and not governements need to do it themsleves
80,"Sure, It was written and then translated badly, I think."
80,"yes, deinfitely not written by a native English speaker.  what would else could you gather though. I always wonder why peopel who believe in evolution try so hard to preserve species when it kind of goes against the whole idea. Maybe they could involve into something better adapted"
80,"What I get is that the apes (orangutans) are already at a 1700 population and then some kind of development for transport (or something) is being planned. My \feelings\"" are mostly subsumed by a cloud of mystery."""
80,I'm gonna run out of time. What was even meant by the depth?
80,"Yeah, anyway, I dig the Darwinian aspect. I just couldn't suss out what was really going on."
80,yeah I don't think I even gathered that they were goinf to move them or else I forgot
80,I found myself trying to re-read and then question what that was.
80,I also don;t think any one entity can be so sure what is sustainable or not
80,But this is going on in a place far from me as well
80,"yeah, but there porbably animals dosplce when wher ew elive was settled"
80,"Well, it can't be as bad as California has been the last 5 years."
80,the fires you mean or what?
80,Yes. I am sure that there's entire species being moved 
80,I don;t like it but I don;t think we should do awya with people as a solution
80,...moved and wiped out and all. I have neighbors with cougars in their back yard
80,wow. if all species that eve lived were still here they would not asll fit
80,I suppose Indonesia must be landlocked or something? Can these apes escape or...?
80,I think it is a bunch of islands actually
80,Oh.. that's right...!
80,"so I had mixed emotions to it, and I guess they evolved the longe rI thought about it"
80,forgot my geography for a second... must be the clove cigarettes
80,"I honestly think I was thinking of somewhere else while I read it too, until you made me think about it"
80,they stated something like 700 to 1000 deaths out of a 1700 population - this is curiously precise math for such a sloppily translated article
80,haha. yeah.  I think a lot of it was specualtion
85,"Hello, good morning! How are you? "
85,i am good. thanks
85,I guess we can discuss the article now. Firs reaction is of sadness. 
85,"yes, exactly that. I was thinking that magnitudes of these calamities is the same everywhere but poorer countries are just not equipped to handle them"
85,"It sems that Haiti is a truly devastated country. Earthquakes, hurricanes. Worse off is the economic collapse they live thorugh. "
85,Some people really get the worst birth lottery
85,"Also they never really recovered from their 2010 earthquake, it seems the destrusction from then lingers on. "
85,It is just so much harder when you are already poor and then you have to fight these natural disasters too. They really do need help
85,Do you think Americans in general would support any help to Haiti? 
85,I hope so. I know that people do care about those devastated by such disasters 
85,For example an aid package? I am not sure how peope would react. Seeing how people were so negative about aid to ukarine
85,Ukraine had a political angle to it where some people thought that it could have been avoided but you can't avoid a hurricane. Hopefully media provides more awareness to people about situation in Haiti
85,"Maybe a ‘grass roots’ campaign? I remember years ago wealthy and influential people got together to aid the famine in Africa, that doesn’t seem to happy anymore. *im showing my age* lol "
85,"Yeah, I remember those times, I think there is people doing it still but the scale is much smaller now. People seem to have stepped back and let the govts and aid agencies lead the relief efforts"
85,"And you are right, politics seem to be injected (no pun intended) into EVRYHTHING now. No real altruisim without ‘angles’ now. No help without an agenda. Truly sad. "
85,I do know that people struggling to put food on their table wouldn't care much about who is giving it and for what ulterior purpose.
85,"Great point,    Also maybe a sense of fabricated victimhood, whenever help/aid to foreign countries is mentioned, too many people bring up issues here. For example ‘we have hunger here, ‘we struggle in america too’ and all those arguments. "
85,Well there is some truth to that too and I have seen more money getting invested inside US which could have gone to Africa e.g. in the past but I still hope that there is enough left for those people who are really desperate and have absolutely no other means to survive except aid
85,"Yes, no hope for so many. Hard to imagine for people sometimes. Great talk, can I ask if you are a real person. Sorry I've talked to too many bots! :) "
85,lol. I am but it is getting really hard to tell bots apart these days.
85,"ugh yes, but it's nice to connect with real people! you type fast!"
85,"Not that fast unfortunately, I am struggling myself with some age related issues"
85,"Im sorry! I hope you take time to care for yourself, i know sometimes we care for others first."
85,"Well, I think this is how it should be, I am happy when people around me are happy and vice versa"
85,"yes, i love seeing my family happy, but i have to remind myself to care for me first so i can be strong enough to care for them :)"
85,"Agreed. It's just that sometimes there is no choice, you have to sacrifice some self interest so that others around you can thrive. It is not fair probably but it is what it is"
85,"yes i completely agree, we goota do what we gotta do!"
85,"anyhow, coming back to the story, I wish people in Haiti can pull through the hard times and would does provide them with the assistance they definitely need. There is just too much suffering going around today and anyone recovering does bring back some trust in humanity"
85,"Yes, I hope they could recover. Their political climate is awful though and it would be very difficult for the people to thrive."
85,"Politicians are self serving almost everywhere but in third world, they really are terrible. "
